,parking_kind,payed,parking_duration,lon,lat,zsname,noise_norm,leisure_norm,traffic_norm,duration_norm
3581,White Zone,1,120.0,8.534091,47.382705,Milchbucktunnel (Südportal),0.8157894736842105,0.27586206896551724,0.797039771765859,0.06885245901639345
3582,White Zone,1,120.0,8.533915,47.382834,Milchbucktunnel (Südportal),0.8157894736842105,0.27586206896551724,0.797039771765859,0.06885245901639345
3583,White Zone,1,120.0,8.532629,47.38379,Kornhausbrücke,0.8157894736842105,0.3706896551724138,0.3585906464831792,0.06885245901639345
3584,White Zone,1,120.0,8.532342,47.384003,Kornhausbrücke,0.8421052631578947,0.3879310344827586,0.3585906464831792,0.06885245901639345
3585,White Zone,1,120.0,8.534262,47.384793,Kornhausbrücke,0.868421052631579,0.10344827586206896,0.3585906464831792,0.06885245901639345
3586,White Zone,1,120.0,8.535846,47.369806,Talstrasse (Pelikanstrasse),0.5263157894736842,0.2672413793103448,0.23493645373015498,0.06885245901639345
3587,White Zone,1,120.0,8.536003,47.369706,Talstrasse (Pelikanstrasse),0.5263157894736842,0.28448275862068967,0.23493645373015498,0.06885245901639345
3588,White Zone,1,120.0,8.536186,47.369614,Talstrasse (Pelikanstrasse),0.5263157894736842,0.28448275862068967,0.23493645373015498,0.06885245901639345
3589,White Zone,1,30.0,8.535338,47.374048,Gessnerallee (Usteribrücke),0.2894736842105263,0.3706896551724138,0.40713128435351204,0.009836065573770493
3590,White Zone,1,120.0,8.535693,47.371314,Talstrasse (Pelikanstrasse),0.8157894736842105,0.3706896551724138,0.23493645373015498,0.06885245901639345
3591,White Zone,1,120.0,8.535725,47.372874,Talstrasse (Pelikanstrasse),0.6578947368421053,0.3879310344827586,0.23493645373015498,0.06885245901639345
3592,White Zone,1,30.0,8.543075,47.378724,Walchebrücke,0.7105263157894737,0.45689655172413796,0.5184746125257419,0.009836065573770493
3593,White Zone,1,120.0,8.527925,47.37249,Stauffacherstrasse (Stauffacherbrücke),0.6842105263157895,0.3879310344827586,0.17624549740168657,0.06885245901639345
3594,White Zone,1,120.0,8.525751,47.371436,Schimmelstrasse (Werdstrasse),0.47368421052631576,0.31896551724137934,0.6429165349465716,0.06885245901639345
3595,White Zone,1,120.0,8.54382,47.383061,Neumühlequai (Sanität),0.8157894736842105,0.11206896551724138,0.4742230425815998,0.06885245901639345
3596,White Zone,1,120.0,8.525543,47.374404,Seebahnstrasse (Kalkbreitestrasse),0.6052631578947368,0.5344827586206896,0.5625584405722557,0.06885245901639345
3597,White Zone,1,120.0,8.525434,47.374478,Stauffacherstrasse (Feldstrasse),0.6052631578947368,0.5344827586206896,0.0570065933519952,0.06885245901639345
3598,White Zone,1,120.0,8.52531,47.373592,Schimmelstrasse (Werdstrasse),0.5,0.43103448275862066,0.6429165349465716,0.06885245901639345
3599,White Zone,1,120.0,8.531158,47.37265,Stauffacherquai (Stauffacherbrücke),0.8157894736842105,0.3620689655172414,0.12368088286075586,0.06885245901639345
3600,White Zone,1,120.0,8.531074,47.372491,Stauffacherquai (Stauffacherbrücke),0.7631578947368421,0.3620689655172414,0.12368088286075586,0.06885245901639345
